cnt,season,hr,workingday,weathersit,temp,atemp,hum,windspeed,intercept
51,1,10,1,1,0.2,0.2576,0.4,0.0,1.0
15,1,1,1,1,0.44,0.4394,0.94,0.0896,1.0
2,2,3,1,2,0.58,0.5455,0.94,0.1045,1.0
26,1,17,1,3,0.24,0.2424,0.93,0.1642,1.0
187,2,10,1,1,0.64,0.6212,0.41,0.4627,1.0
315,2,20,0,1,0.68,0.6364,0.41,0.0896,1.0
3,3,6,0,1,0.64,0.5758,0.84,0.2239,1.0
308,4,15,1,1,0.7,0.6364,0.39,0.1045,1.0
199,1,8,1,1,0.1,0.1364,0.42,0.0,1.0
144,1,17,0,1,0.24,0.2273,0.41,0.2537,1.0
2,1,3,1,3,0.52,0.5,0.72,0.2985,1.0
32,1,23,1,2,0.2,0.2273,0.44,0.1045,1.0
282,1,14,0,1,0.44,0.4394,0.47,0.0896,1.0
98,2,19,1,3,0.5,0.4848,0.77,0.3582,1.0
450,3,15,0,1,0.9,0.8182,0.37,0.5224,1.0
361,2,7,1,2,0.48,0.4697,1.0,0.0896,1.0
532,4,16,1,1,0.74,0.6515,0.33,0.1343,1.0
100,2,0,0,2,0.5,0.4848,0.59,0.1045,1.0
256,2,20,1,2,0.74,0.7121,0.79,0.2537,1.0
4,2,2,1,2,0.32,0.3485,0.57,0.0,1.0
156,2,11,1,2,0.64,0.5909,0.78,0.2836,1.0
171,4,21,0,1,0.44,0.4394,0.67,0.2239,1.0
328,4,9,1,1,0.52,0.5,0.52,0.194,1.0
388,2,16,1,2,0.6,0.6212,0.53,0.3881,1.0
189,3,15,1,2,0.76,0.697,0.52,0.3582,1.0
45,3,7,0,1,0.74,0.6818,0.58,0.1343,1.0
109,3,22,1,1,0.7,0.6667,0.79,0.1045,1.0
52,2,2,0,1,0.42,0.4242,0.82,0.0896,1.0
8,1,1,1,1,0.44,0.4394,0.72,0.2239,1.0
411,3,12,0,1,0.7,0.6515,0.65,0.0,1.0
757,3,8,1,1,0.54,0.5152,0.73,0.1343,1.0
105,3,23,1,2,0.72,0.697,0.79,0.2239,1.0
86,1,0,0,1,0.26,0.2727,0.7,0.1045,1.0
393,4,11,0,1,0.34,0.3485,0.61,0.0896,1.0
16,1,5,1,1,0.38,0.3939,0.82,0.0,1.0
11,4,4,0,2,0.34,0.3636,0.87,0.0,1.0
4,1,1,1,1,0.44,0.4394,0.41,0.2836,1.0
270,3,20,1,1,0.8,0.7879,0.63,0.194,1.0
175,4,12,1,2,0.44,0.4394,0.54,0.1343,1.0
2,1,3,1,2,0.3,0.3333,0.7,0.0,1.0
197,1,17,1,1,0.36,0.3333,0.57,0.3284,1.0
41,1,21,1,1,0.08,0.0758,0.38,0.2836,1.0
36,3,15,1,3,0.6,0.5455,0.88,0.2537,1.0
13,4,1,1,1,0.4,0.4091,0.82,0.1343,1.0
120,1,8,0,1,0.2,0.1818,0.59,0.3582,1.0
103,2,23,1,2,0.54,0.5152,0.77,0.194,1.0
22,1,0,1,1,0.32,0.3485,0.57,0.0,1.0
154,1,9,1,2,0.32,0.3333,0.93,0.1343,1.0
18,4,6,1,3,0.48,0.4697,1.0,0.4179,1.0
3,3,6,0,2,0.62,0.5455,0.94,0.0896,1.0
39,1,14,0,3,0.44,0.4394,1.0,0.2239,1.0
142,2,11,0,2,0.36,0.3636,0.81,0.0,1.0
99,1,6,1,2,0.4,0.4091,0.87,0.1642,1.0
118,1,13,1,1,0.3,0.2727,0.49,0.4627,1.0
8,4,3,1,1,0.3,0.2879,0.7,0.2836,1.0
159,3,23,1,1,0.68,0.6364,0.47,0.1343,1.0
31,2,5,1,1,0.66,0.6212,0.39,0.2239,1.0
6,2,3,1,1,0.56,0.5303,0.83,0.0896,1.0
10,4,4,1,1,0.2,0.2273,0.75,0.0896,1.0
222,3,9,1,1,0.64,0.5909,0.78,0.3284,1.0
164,1,11,1,1,0.32,0.303,0.53,0.2985,1.0
7,3,4,1,1,0.64,0.5758,0.89,0.1343,1.0
29,1,0,1,1,0.26,0.2424,0.6,0.2537,1.0
132,1,13,1,1,0.3,0.2879,0.31,0.194,1.0
366,3,20,1,1,0.74,0.6818,0.62,0.0896,1.0
8,1,7,0,1,0.02,0.0152,0.44,0.2836,1.0
33,4,0,1,1,0.44,0.4394,1.0,0.194,1.0
99,4,6,1,2,0.28,0.3182,0.93,0.0,1.0
90,1,6,1,1,0.32,0.3182,0.76,0.1642,1.0
36,3,3,0,1,0.44,0.4394,0.82,0.194,1.0
20,4,2,1,1,0.32,0.3333,0.66,0.1343,1.0
61,1,20,0,1,0.24,0.2424,0.48,0.1642,1.0
242,1,9,1,1,0.36,0.3333,0.81,0.2537,1.0
184,3,22,1,1,0.68,0.6364,0.83,0.194,1.0
418,2,8,1,1,0.66,0.6212,0.74,0.2836,1.0
313,2,7,1,1,0.62,0.5909,0.73,0.1343,1.0
271,3,15,1,1,0.8,0.7121,0.36,0.194,1.0
35,3,5,1,1,0.68,0.6364,0.83,0.0896,1.0
362,4,7,1,1,0.38,0.3939,0.83,0.2537,1.0
53,1,21,0,1,0.22,0.2121,0.51,0.2836,1.0
125,1,11,0,1,0.36,0.3485,0.62,0.1343,1.0
229,1,16,1,1,0.46,0.4545,0.55,0.2836,1.0
107,4,22,1,1,0.3,0.303,0.52,0.1642,1.0
182,2,9,1,2,0.32,0.303,0.81,0.2537,1.0
71,1,12,1,1,0.28,0.2727,0.24,0.2537,1.0
131,3,23,1,2,0.7,0.6515,0.65,0.1045,1.0
61,2,12,0,3,0.38,0.3939,0.87,0.3284,1.0
253,4,19,0,1,0.34,0.3485,0.53,0.0896,1.0
21,2,5,1,1,0.62,0.5606,0.88,0.0,1.0
20,1,2,0,2,0.24,0.2576,0.87,0.0896,1.0
254,3,13,1,1,0.84,0.7727,0.47,0.1343,1.0
27,4,5,1,2,0.28,0.2576,0.52,0.3284,1.0
3,2,2,1,1,0.36,0.3485,0.76,0.1343,1.0
178,4,6,1,1,0.38,0.3939,0.82,0.0,1.0
142,4,10,1,1,0.36,0.3485,0.71,0.1642,1.0
83,1,13,1,1,0.22,0.197,0.41,0.4478,1.0
380,4,16,1,1,0.42,0.4242,0.58,0.2537,1.0
572,2,17,1,1,0.76,0.6515,0.2,0.5224,1.0
144,4,11,1,1,0.42,0.4242,0.71,0.1343,1.0
270,3,7,1,1,0.7,0.6515,0.65,0.0896,1.0
520,2,18,1,1,0.56,0.5303,0.26,0.2836,1.0
549,1,19,1,1,0.62,0.6061,0.61,0.2239,1.0
70,1,21,1,1,0.22,0.2273,0.44,0.1343,1.0
97,3,0,1,1,0.72,0.6818,0.7,0.0,1.0
227,2,11,1,2,0.56,0.5303,0.56,0.194,1.0
123,4,6,1,1,0.52,0.5,0.83,0.0896,1.0
314,3,11,0,2,0.74,0.697,0.7,0.194,1.0
90,1,23,1,1,0.52,0.5,0.83,0.0,1.0
28,2,3,0,1,0.54,0.5152,0.64,0.1045,1.0
156,4,10,1,1,0.46,0.4545,0.82,0.194,1.0
106,4,22,1,1,0.3,0.2879,0.56,0.2239,1.0
158,2,14,1,2,0.7,0.6515,0.58,0.5224,1.0
275,3,14,1,1,0.72,0.6667,0.54,0.1642,1.0
5,2,4,1,1,0.48,0.4697,0.94,0.0,1.0
222,1,18,1,1,0.4,0.4091,0.4,0.2239,1.0
240,2,14,1,1,0.7,0.6364,0.28,0.2836,1.0
1,4,3,1,1,0.26,0.303,0.7,0.0,1.0
39,4,5,1,2,0.3,0.2727,0.52,0.3284,1.0
5,4,3,1,1,0.46,0.4545,0.82,0.1343,1.0
148,4,22,1,1,0.46,0.4545,0.82,0.0,1.0
26,4,21,1,3,0.34,0.3333,0.76,0.1642,1.0
38,2,12,1,2,0.34,0.303,0.71,0.3881,1.0
165,2,21,0,1,0.64,0.6061,0.73,0.1642,1.0
2,2,2,1,1,0.6,0.6061,0.6,0.2985,1.0
446,4,16,1,1,0.54,0.5152,0.39,0.2836,1.0
2,1,6,0,1,0.26,0.2727,0.93,0.1343,1.0
39,4,6,0,2,0.5,0.4848,0.59,0.3284,1.0
88,3,12,1,3,0.68,0.6364,0.83,0.4478,1.0
87,4,11,1,3,0.52,0.5,0.88,0.1642,1.0
537,2,15,1,1,0.5,0.4848,0.27,0.2836,1.0
149,3,12,1,1,0.82,0.803,0.59,0.0,1.0
5,3,4,1,1,0.54,0.5152,0.56,0.1642,1.0
55,1,10,1,1,0.44,0.4394,0.33,0.2239,1.0
91,1,13,1,2,0.14,0.1212,0.43,0.2537,1.0
146,3,15,1,1,0.86,0.8182,0.5,0.194,1.0
54,2,8,0,2,0.32,0.303,0.93,0.1642,1.0
151,2,23,1,1,0.56,0.5303,0.83,0.0896,1.0
176,3,13,1,1,0.8,0.7121,0.41,0.194,1.0
2,2,4,1,3,0.5,0.4848,0.88,0.4925,1.0
282,3,19,0,1,0.72,0.6818,0.7,0.2537,1.0
48,1,8,0,1,0.14,0.1667,0.69,0.1045,1.0
218,2,20,1,2,0.62,0.6061,0.69,0.1343,1.0
145,1,19,1,1,0.3,0.2879,0.33,0.2239,1.0
148,2,0,0,1,0.56,0.5303,0.56,0.1343,1.0
99,4,11,1,3,0.58,0.5455,0.94,0.1343,1.0
1,2,5,0,1,0.5,0.4848,0.82,0.2537,1.0
177,2,13,1,1,0.48,0.4697,0.33,0.3284,1.0
3,2,3,0,1,0.4,0.4091,0.76,0.0,1.0
112,2,23,1,1,0.62,0.6212,0.35,0.2239,1.0
46,2,6,1,1,0.42,0.4242,0.58,0.2836,1.0
21,3,1,1,1,0.66,0.6061,0.83,0.1343,1.0
44,4,2,0,1,0.32,0.3485,0.81,0.0,1.0
233,4,11,0,1,0.36,0.3788,0.4,0.0,1.0
3,1,4,0,1,0.4,0.4091,0.15,0.3284,1.0
151,4,21,1,2,0.3,0.2879,0.56,0.2537,1.0
77,3,7,0,1,0.58,0.5455,0.78,0.2537,1.0
594,4,13,0,1,0.62,0.6212,0.41,0.2537,1.0
10,1,0,1,2,0.32,0.2879,0.26,0.4179,1.0
152,1,12,0,1,0.36,0.3182,0.32,0.4627,1.0
11,4,3,0,1,0.46,0.4545,0.88,0.0,1.0
33,4,0,1,2,0.46,0.4545,0.88,0.0896,1.0
349,3,11,0,1,0.78,0.7424,0.62,0.2239,1.0
583,2,8,1,2,0.64,0.5758,0.89,0.1045,1.0
65,3,23,1,3,0.66,0.5909,0.89,0.2239,1.0
448,2,19,1,1,0.66,0.6212,0.69,0.0896,1.0
9,3,3,1,1,0.54,0.5152,0.45,0.2836,1.0
558,2,12,0,2,0.6,0.6061,0.64,0.0896,1.0
11,2,1,1,1,0.4,0.4091,0.56,0.3582,1.0
365,3,16,1,1,0.84,0.7424,0.36,0.2836,1.0
327,3,9,1,2,0.7,0.6667,0.74,0.1343,1.0
285,4,9,0,1,0.52,0.5,0.63,0.1045,1.0
528,2,18,1,1,0.68,0.6364,0.65,0.4478,1.0
307,2,16,1,1,0.44,0.4394,0.33,0.2985,1.0
45,3,0,1,2,0.78,0.7121,0.52,0.1642,1.0
431,4,17,1,1,0.4,0.4091,0.62,0.1642,1.0
370,2,7,1,1,0.44,0.4394,0.72,0.194,1.0
461,4,7,1,2,0.3,0.2879,0.49,0.2537,1.0
152,4,11,1,1,0.46,0.4545,0.67,0.1642,1.0
131,2,8,0,1,0.66,0.6061,0.78,0.0896,1.0
380,3,15,0,3,0.6,0.5455,0.88,0.2537,1.0
591,4,11,0,1,0.6,0.6212,0.43,0.2239,1.0
164,3,21,0,1,0.78,0.7424,0.59,0.2985,1.0
346,4,12,0,1,0.44,0.4394,0.54,0.0,1.0
186,4,15,1,1,0.5,0.4848,0.45,0.1343,1.0
209,3,9,1,1,0.74,0.697,0.7,0.0896,1.0
59,4,23,1,1,0.26,0.303,0.7,0.0,1.0
245,2,15,1,1,0.7,0.6515,0.61,0.0896,1.0
375,2,19,0,1,0.82,0.7121,0.28,0.2836,1.0
200,4,10,0,1,0.32,0.303,0.45,0.2537,1.0
23,1,23,1,2,0.2,0.197,0.59,0.194,1.0
203,3,21,1,1,0.66,0.5909,0.89,0.0,1.0
363,2,10,0,1,0.42,0.4242,0.28,0.2537,1.0
124,1,10,1,2,0.26,0.2727,0.48,0.1343,1.0
5,4,3,1,2,0.54,0.5152,0.88,0.194,1.0
275,2,10,1,2,0.56,0.5303,0.88,0.1045,1.0
24,4,0,1,1,0.32,0.3333,0.87,0.0896,1.0
749,1,18,1,1,0.7,0.6364,0.32,0.0,1.0
20,3,5,1,1,0.66,0.6212,0.69,0.0,1.0
361,2,16,0,1,0.74,0.697,0.7,0.2836,1.0
421,3,17,0,2,0.72,0.6515,0.42,0.1642,1.0
666,2,8,1,2,0.56,0.5303,0.88,0.0,1.0
201,4,14,1,2,0.38,0.3939,0.54,0.1642,1.0
18,1,5,1,1,0.48,0.4697,0.88,0.1642,1.0
207,4,15,1,2,0.42,0.4242,0.54,0.4478,1.0
18,3,2,1,1,0.74,0.6667,0.51,0.0,1.0
30,1,23,0,2,0.28,0.2727,0.65,0.2537,1.0
35,4,7,0,3,0.42,0.4242,0.58,0.1642,1.0
206,4,14,1,2,0.54,0.5152,0.64,0.194,1.0
386,4,19,1,2,0.34,0.3333,0.61,0.1343,1.0
54,4,23,1,3,0.54,0.5152,0.94,0.0896,1.0
159,3,11,1,2,0.68,0.6364,0.65,0.1343,1.0
98,3,22,0,1,0.64,0.6061,0.69,0.1045,1.0
345,4,17,0,1,0.38,0.3939,0.87,0.1343,1.0
591,4,17,1,1,0.7,0.6515,0.7,0.2239,1.0
306,4,20,1,3,0.62,0.5455,0.94,0.1343,1.0
115,4,15,1,1,0.36,0.3333,0.46,0.3284,1.0
68,1,10,1,1,0.24,0.2121,0.52,0.2836,1.0
17,2,6,0,2,0.52,0.5,1.0,0.1343,1.0
66,2,3,0,1,0.54,0.5152,0.56,0.0896,1.0
31,4,5,1,1,0.34,0.3333,0.76,0.194,1.0
119,3,6,1,1,0.68,0.6364,0.61,0.0,1.0
198,4,18,0,3,0.36,0.3636,0.93,0.0896,1.0
7,2,3,1,1,0.52,0.5,0.83,0.0896,1.0
607,3,19,1,1,0.8,0.7879,0.63,0.1642,1.0
387,4,12,1,1,0.54,0.5152,0.39,0.4627,1.0
166,2,11,1,2,0.74,0.6818,0.55,0.3284,1.0
236,3,21,1,1,0.7,0.6515,0.61,0.3582,1.0
108,2,22,0,1,0.5,0.4848,0.45,0.0,1.0
281,1,19,1,1,0.38,0.3939,0.46,0.1045,1.0
70,3,23,1,3,0.6,0.5152,0.94,0.2537,1.0
25,1,5,1,1,0.18,0.1818,0.51,0.2239,1.0
23,1,1,0,4,0.14,0.1364,0.86,0.194,1.0
216,4,11,1,1,0.32,0.3333,0.45,0.1343,1.0
17,2,5,0,1,0.54,0.5152,0.68,0.1343,1.0
152,2,22,0,1,0.66,0.6061,0.78,0.2239,1.0
167,3,22,1,1,0.48,0.4697,0.67,0.0896,1.0
306,3,19,0,1,0.76,0.697,0.55,0.1642,1.0
795,2,18,1,1,0.8,0.7576,0.55,0.1642,1.0
373,4,19,1,1,0.26,0.2576,0.6,0.194,1.0
368,1,11,0,2,0.44,0.4394,0.82,0.1642,1.0
297,2,15,0,1,0.5,0.4848,0.77,0.2239,1.0
530,1,17,1,1,0.42,0.4242,0.26,0.0896,1.0
22,2,5,1,1,0.3,0.2879,0.7,0.194,1.0
174,1,15,0,1,0.34,0.303,0.29,0.4179,1.0
27,1,1,1,1,0.52,0.5,0.63,0.0896,1.0
236,2,17,0,2,0.52,0.5,0.72,0.194,1.0
454,3,8,1,1,0.7,0.6515,0.65,0.2239,1.0
354,4,18,1,1,0.36,0.3485,0.5,0.194,1.0
254,3,14,1,1,0.8,0.7424,0.49,0.2239,1.0
151,2,13,1,2,0.72,0.6667,0.54,0.2537,1.0
338,3,11,0,1,0.72,0.6667,0.58,0.0,1.0
120,3,14,1,2,0.7,0.6667,0.79,0.3582,1.0
